health_board,population
Betsi Cadwaladr University Health Board,698369
Powys Teaching Health Board,132447
Hywel Dda University Health Board,385615
Abertawe Bro Morgannwg University Health Board,389372
Cwm Taf University Health Board,445190
Aneurin Bevan University Health Board,591225
Cardiff and Vale University Health Board,496413
