gss_cd,gss_nm,total_cases_2020_03_16,total_cases_2020_03_17,total_cases_2020_03_18,total_cases_2020_03_19,total_cases_2020_03_20,total_cases_2020_03_21,total_cases_2020_03_22,total_cases_2020_03_24,total_cases_2020_03_25
E10000008,Devon,24,25,26,30,42,43,46,48,55
E08000017,Doncaster,0,3,2,3,5,7,9,13,21
E06000059,Dorset,2,5,7,7,8,11,14,15,25
E08000027,Dudley,9,10,11,18,19,24,26,40,60
E09000009,Ealing,21,42,53,54,80,97,106,123,165
E06000011,East Riding of Yorkshire,9,10,10,15,15,15,16,16,21
E10000011,East Sussex,7,8,8,8,8,9,11,21,26
E09000010,Enfield,10,27,30,48,54,68,76,84,110
E10000012,Essex,21,27,31,43,45,53,67,80,130
E08000037,Gateshead,0,1,1,1,2,3,4,5,12
E10000013,Gloucestershire,11,12,15,22,27,29,32,49,64
E09000011,Greenwich,19,19,33,41,54,61,67,77,118
E09000012,Hackney,22,29,32,45,52,64,72,74,119
E06000006,Halton,3,4,4,5,7,7,7,8,8
E09000013,Hammersmith and Fulham,23,25,28,36,45,51,58,70,94
E10000014,Hampshire,69,77,87,107,138,156,171,207,267
E09000014,Haringey,17,29,32,44,51,57,64,72,91
E09000015,Harrow,15,40,56,60,89,103,113,134,167
E06000001,Hartlepool,0,1,2,2,2,2,3,3,3
E09000016,Havering,7,7,14,19,30,35,39,44,70
E06000019,"Herefordshire, County of",1,3,3,3,7,7,7,15,21
E10000015,Hertfordshire,36,50,52,61,75,92,115,139,170
E09000017,Hillingdon,16,21,29,34,50,63,78,85,103
E09000018,Hounslow,15,24,29,38,52,64,73,82,112
E06000046,Isle of Wight,2,2,2,2,2,2,2,3,7
E09000019,Islington,11,29,35,45,48,54,59,66,96
E09000020,Kensington and Chelsea,49,55,57,66,75,81,85,91,110
E10000016,Kent,18,21,25,32,45,48,64,72,112
E06000010,"Kingston upon Hull, City of",1,1,1,1,1,1,1,1,4
E09000021,Kingston upon Thames,1,7,14,17,22,23,23,36,42
E08000034,Kirklees,2,2,3,6,8,11,16,17,24
E08000011,Knowsley,1,1,3,3,4,4,5,8,12
E09000022,Lambeth,43,61,81,103,118,127,134,188,248
E10000017,Lancashire,15,15,24,26,30,44,59,71,102
E08000035,Leeds,11,12,15,17,20,29,35,42,67
E06000016,Leicester,0,3,5,11,14,19,22,24,45
